,fireblock,FalseCall_Count
0,0103  ,272
1,0106  ,5
2,0109  ,404
3,0111  ,1
4,0112  ,63
5,0115  ,218
6,0118  ,329
7,0121  ,217
8,0124  ,174
9,0127  ,70
10,0130  ,668
11,0133  ,263
12,0136  ,69
13,0139  ,17
14,0151  ,104
15,0160  ,1
16,0201  ,2
17,0216R ,4
18,0243  ,50
19,0249  ,16
20,0252  ,249
21,0255  ,159
22,0258  ,73
23,0258R ,7
24,0261  ,44
25,0264  ,82
26,0264R ,1
27,0270  ,37
28,0273  ,82
29,0279  ,53
30,0282  ,57
31,0285  ,52
32,0288  ,55
33,0291  ,46
34,0315  ,41
35,0321  ,66
36,0324  ,127
37,0327  ,34
38,0330  ,30
39,0336  ,51
40,0339  ,92
41,0342  ,250
42,0345  ,109
43,0348  ,44
44,0351  ,409
45,0354  ,67
46,0357  ,87
47,0360  ,550
48,0363  ,202
49,0372  ,452
50,0375  ,698
51,0378  ,295
52,0381  ,194
53,0403  ,242
54,0406  ,347
55,0409  ,369
56,0412  ,139
57,0415  ,208
58,0418  ,60
59,0421  ,49
60,0424  ,199
61,0427  ,249
62,0430  ,345
63,0433  ,24
64,0436  ,115
65,0439  ,38
66,0442  ,21
67,0445  ,40
68,0448  ,88
69,0451  ,656
70,0454  ,7
71,0457  ,23
72,0460  ,40
73,0463  ,35
74,0466  ,90
75,0469  ,89
76,0506  ,20
77,0509  ,7
78,0512  ,15
79,0515  ,38
80,0518  ,14
81,0521  ,18
82,0524  ,26
83,0527  ,34
84,0530  ,21
85,0533  ,17
86,0536  ,13
87,0539  ,20
88,0542  ,19
89,0545  ,77
90,0548  ,104
91,0551  ,48
92,0554  ,10
93,0557  ,38
94,0560  ,14
95,0563  ,88
96,0600  ,2
97,0606  ,54
98,0609  ,31
99,0612  ,70
100,0615  ,66
101,0618  ,81
102,0621  ,134
103,0624  ,81
104,0627  ,114
105,0630  ,34
106,0633  ,31
107,0703  ,127
108,0706  ,137
109,0709  ,122
110,0712  ,86
111,0715  ,53
112,0718  ,73
113,0721  ,73
114,0724  ,272
115,0727  ,75
116,0730  ,43
117,0733  ,161
118,0736  ,60
119,0739  ,26
120,0742  ,66
121,0745  ,49
122,0748  ,48
123,0751  ,56
124,0754  ,42
125,0757  ,26
126,0760  ,46
127,0763  ,49
128,0766  ,99
129,0769  ,87
130,0772  ,60
131,0775  ,46
132,0803  ,72
133,0806  ,55
134,0809  ,34
135,0812  ,98
136,0815  ,49
137,0818  ,59
138,0821  ,19
139,0824  ,26
140,0827  ,25
141,0830  ,30
142,0833  ,25
143,0836  ,20
144,0839  ,17
145,0842  ,57
146,0845  ,15
147,0848  ,19
148,0851  ,15
149,0854  ,28
150,0860  ,33
151,0863  ,49
152,0909  ,39
153,0915  ,23
154,0916  ,66
155,0921  ,40
156,0924  ,13
157,0927  ,16
158,0930  ,13
159,0933  ,45
160,0936  ,52
161,0939  ,11
162,0942  ,12
