,gid,fma,fireblock,geom
0,1,01,0103,"MULTIPOLYGON (((-122.6739595339999 45.53196852200006, -122.670944126 45.52917269600005, -122.669181766 45.52755928500005, -122.670492634 45.52694517000003, -122.670845088 45.52683767500008, -122.670920891 45.52681666200004, -122.671020727 45.52680498600006, -122.6711682599999 45.52680219800004, -122.671300783 45.52680752700007, -122.671563006 45.52681725700006, -122.671691204 45.52681875100006, -122.6724011379999 45.52684449200007, -122.67289136 45.52684305500003, -122.6731947009999 45.52683536100005, -122.6733447189999 45.52682469200005, -122.6735431499999 45.52680527400003, -122.673535535 45.52667912600003, -122.674539335 45.52666796700004, -122.675438487 45.52665192800004, -122.67555412 45.52665267500004, -122.676561869 45.52663555100003, -122.677583423 45.52661521800007, -122.6785966639999 45.52659601200003, -122.679217374 45.52658326300008, -122.680234865 45.52656592200003, -122.680260823 45.52727814900004, -122.680275535 45.52798765300003, -122.680300329 45.52870577700003, -122.680325913 45.52940822100004, -122.6803468319999 45.53013425000006, -122.679716002 45.53013838600003, -122.679506503 45.53012375800006, -122.6793162279999 45.53010191100003, -122.6776478149999 45.52989172400004, -122.677711419 45.52998842000005, -122.678026753 45.53025656700004, -122.678996813 45.53107033600003, -122.67952718 45.53156936300007, -122.680426445 45.53155426300003, -122.6804388469999 45.53180465500003, -122.680431687 45.53208968300004, -122.680406512 45.53223211600005, -122.680392403 45.53226371300008, -122.680355306 45.53234959000008, -122.680207826 45.53249924000005, -122.680160498 45.53253636100004, -122.679767009 45.53284535900008, -122.685270889 45.53607143200003, -122.683171806 45.53778053600007, -122.6739595339999 45.53196852200006)))"
1,2,01,0106,"MULTIPOLYGON (((-122.669984655 45.52957948400007, -122.6698294779999 45.52941891900008, -122.6697424879999 45.52932951400004, -122.668204196 45.52818471900008, -122.668088953 45.52826717100004, -122.667990783 45.52835909200007, -122.667911082 45.52846045500007, -122.6678384419999 45.52860084400004, -122.6677869059999 45.52860083700006, -122.667786737 45.52866937100003, -122.6676697079999 45.52866864100008, -122.667669539 45.52873717500006, -122.667241898 45.52873643000004, -122.6672217289999 45.52875541200007, -122.667173181 45.52883366800006, -122.6671206669999 45.52909996900007, -122.667126194 45.52924475800006, -122.667165499 45.52939870000006, -122.667213439 45.52948688600003, -122.6672690839999 45.52959450600008, -122.66731834 45.52968070900005, -122.667333817 45.52975775800007, -122.667327558 45.52981270000004, -122.667321159 45.52982750600006, -122.6673056879999 45.52986010500007, -122.667156332 45.53003424800005, -122.667090498 45.53017059200005, -122.667004655 45.53029360800008, -122.666959374 45.53038453100004, -122.666873652 45.53047425700004, -122.666756635 45.53054695200007, -122.666574311 45.53062381500007, -122.666415537 45.53069729600003, -122.666235359 45.53075747500003, -122.666151312 45.53078157700003, -122.666057296 45.53079999100004, -122.665960159 45.53080965400005, -122.665795614 45.53080492300006, -122.66535686 45.53080536000004, -122.665146717 45.53081029800006, -122.664744115 45.53080907100008, -122.664751198 45.53019118600008, -122.664782153 45.53008976400008, -122.664736116 45.52866324200005, -122.664873836 45.52865869000004, -122.665081374 45.52865869500005, -122.665176096 45.52865886800004, -122.665361252 45.52865635900008, -122.6657750479999 45.52865933000004, -122.666379231 45.52865087900005, -122.666512702 45.52864444700003, -122.6666445179999 45.52863119200003, -122.6667538409999 45.52861248800008, -122.666850376 45.52858717100003, -122.6669329539999 45.52856113900003, -122.666994506 45.52853158800008, -122.667100073 45.52848750000004, -122.66750963 45.52830649100008, -122.668311884 45.52794087200004, -122.669181766 45.52755928500005, -122.670944126 45.52917269600005, -122.669984655 45.52957948400007)))"
2,3,01,0109,"MULTIPOLYGON (((-122.669181766 45.52755928500005, -122.669112948 45.52747149400005, -122.6681131349999 45.52441432000006, -122.6679028249999 45.52372123400005, -122.667814386 45.52304640800003, -122.669584725 45.52308739900008, -122.670297246 45.52310918800003, -122.6713451369999 45.52312365600005, -122.6723805409999 45.52313933100004, -122.6733829249999 45.52312918600006, -122.673447043 45.52454949600008, -122.673472953 45.52526270400006, -122.674487563 45.52524350800007, -122.6755022089999 45.52522528300005, -122.676515463 45.52520707400004, -122.677530108 45.52518883000005, -122.678532189 45.52516983600003, -122.6791682689999 45.52515875400007, -122.679194213 45.52587098300006, -122.679217374 45.52658326300008, -122.6785966639999 45.52659601200003, -122.677583423 45.52661521800007, -122.676561869 45.52663555100003, -122.67555412 45.52665267500004, -122.675438487 45.52665192800004, -122.674539335 45.52666796700004, -122.673535535 45.52667912600003, -122.6735431499999 45.52680527400003, -122.6733447189999 45.52682469200005, -122.6731947009999 45.52683536100005, -122.67289136 45.52684305500003, -122.6724011379999 45.52684449200007, -122.671691204 45.52681875100006, -122.671563006 45.52681725700006, -122.671300783 45.52680752700007, -122.6711682599999 45.52680219800004, -122.671020727 45.52680498600006, -122.670920891 45.52681666200004, -122.670845088 45.52683767500008, -122.670492634 45.52694517000003, -122.669181766 45.52755928500005)))"
3,4,01,0111,"MULTIPOLYGON (((-122.666151838 45.52710833500004, -122.666010538 45.52701897200006, -122.666088593 45.52676491600005, -122.66610585 45.52666962800004, -122.666120622 45.52658221800004, -122.6661262699999 45.52643819700006, -122.666110619 45.52632003200006, -122.6660830599999 45.52614531000006, -122.666016382 45.52596740800004, -122.665953223 45.52584524300005, -122.6658902519999 45.52572797100004, -122.6658311099999 45.52563803800007, -122.665764897 45.52554530100008, -122.665704015 45.52548281300005, -122.666121611 45.52565899500007, -122.666164644 45.52565524700003, -122.666188929 45.52545213400003, -122.6662141099999 45.52527250200006, -122.6662335999999 45.52512626200007, -122.666248643 45.52500947700003, -122.666262135 45.52492502800004, -122.666265499 45.52486720200005, -122.666263025 45.52483885800007, -122.6662269239999 45.52480527400007, -122.666179033 45.52482771400003, -122.666111631 45.52481332100007, -122.666270848 45.52420431400003, -122.6663472449999 45.52368791600003, -122.666383217 45.52313409800007, -122.666300539 45.52301132300005, -122.667814386 45.52304640800003, -122.6679028249999 45.52372123400005, -122.6681131349999 45.52441432000006, -122.669112948 45.52747149400005, -122.669181766 45.52755928500005, -122.668311884 45.52794087200004, -122.66750963 45.52830649100008, -122.6678418289999 45.52803295600006, -122.667677834 45.52796947700006, -122.667462864 45.52792066500007, -122.667246896 45.52780921600004, -122.666809553 45.52755411100003, -122.666575505 45.52740677700007, -122.666362857 45.52727274600005, -122.666151838 45.52710833500004)))"
4,5,01,0112,"MULTIPOLYGON (((-122.664736116 45.52866324200005, -122.664484542 45.52758128300007, -122.664440036 45.52736380400006, -122.664443502 45.52723548800003, -122.664469074 45.52713906400004, -122.6644831149999 45.52699586500006, -122.66448827 45.52687535000007, -122.6638621819999 45.52663749500005, -122.663661027 45.52658547800007, -122.663592492 45.52657795800008, -122.663497363 45.52656702200005, -122.66170306 45.52655771300005, -122.6607068659999 45.52654903800004, -122.660707345 45.52590288500005, -122.66070819 45.52566888700005, -122.6607113649999 45.52553274500008, -122.660706542 45.52507661900006, -122.66045858 45.52507540700003, -122.659688328 45.52507422300005, -122.659707187 45.52293376100005, -122.6607212229999 45.52293721500007, -122.661782692 45.52294270400006, -122.662277427 45.52295101700003, -122.662754107 45.52296064700005, -122.663754637 45.52297509700003, -122.664776305 45.52299599400004, -122.665109227 45.52299755200005, -122.665394794 45.52299902500005, -122.665518844 45.52300158200006, -122.665489372 45.52416422000005, -122.665463078 45.52526414000005, -122.6653689409999 45.52703204300008, -122.665798326 45.52744394500007, -122.666994506 45.52853158800008, -122.6669329539999 45.52856113900003, -122.666850376 45.52858717100003, -122.6667538409999 45.52861248800008, -122.6666445179999 45.52863119200003, -122.666512702 45.52864444700003, -122.666379231 45.52865087900005, -122.6657750479999 45.52865933000004, -122.665361252 45.52865635900008, -122.665176096 45.52865886800004, -122.665081374 45.52865869500005, -122.664873836 45.52865869000004, -122.664736116 45.52866324200005)))"
5,6,01,0115,"MULTIPOLYGON (((-122.676515463 45.52520707400004, -122.676485376 45.52449492400007, -122.676463605 45.52378163800006, -122.676446105 45.52321610000007, -122.676486369 45.52306750700006, -122.676539083 45.52291672000007, -122.676820154 45.52240133000004, -122.677167095 45.52175154600008, -122.6781912069999 45.52201800900008, -122.679157932 45.52227673900006, -122.680085246 45.52252446100005, -122.680106474 45.52300475300007, -122.680182874 45.52513950900004, -122.6791682689999 45.52515875400007, -122.678532189 45.52516983600003, -122.677530108 45.52518883000005, -122.676515463 45.52520707400004)))"
6,7,01,0118,"MULTIPOLYGON (((-122.6733829249999 45.52312918600006, -122.673372225 45.52255862500004, -122.6733858919999 45.52226074700008, -122.673772707 45.52159651400007, -122.674107721 45.52092542700007, -122.6751292819999 45.52119881700003, -122.677167095 45.52175154600008, -122.676820154 45.52240133000004, -122.676539083 45.52291672000007, -122.676486369 45.52306750700006, -122.676446105 45.52321610000007, -122.676463605 45.52378163800006, -122.676485376 45.52449492400007, -122.676515463 45.52520707400004, -122.6755022089999 45.52522528300005, -122.674487563 45.52524350800007, -122.673472953 45.52526270400006, -122.673447043 45.52454949600008, -122.6733829249999 45.52312918600006)))"
7,8,01,0121,"MULTIPOLYGON (((-122.667814386 45.52304640800003, -122.667985182 45.52095398000006, -122.668039031 45.52028528000005, -122.668259896 45.51968685400004, -122.671138734 45.52012982700006, -122.672175763 45.52040784700006, -122.673122763 45.52066210500004, -122.674107721 45.52092542700007, -122.673772707 45.52159651400007, -122.6733858919999 45.52226074700008, -122.673372225 45.52255862500004, -122.6733829249999 45.52312918600006, -122.6723805409999 45.52313933100004, -122.6713451369999 45.52312365600005, -122.670297246 45.52310918800003, -122.669584725 45.52308739900008, -122.667814386 45.52304640800003)))"
8,9,01,0124,"MULTIPOLYGON (((-122.660706542 45.52507661900006, -122.6607113649999 45.52553274500008, -122.66070819 45.52566888700005, -122.660436485 45.52577581100007, -122.6601506979999 45.52591530800004, -122.657976063 45.52696552100008, -122.657308336 45.52728057100006, -122.6565714549999 45.52760866100004, -122.6565233649999 45.52747935700006, -122.656639234 45.52656964600004, -122.6566381379999 45.52577079900004, -122.655627094 45.52577410600003, -122.654615754 45.52576957700006, -122.653601666 45.52576606900004, -122.653603953 45.52505527100004, -122.653610266 45.52434048000003, -122.653615224 45.52362669300004, -122.65362022 45.52291388500004, -122.653617976 45.52274455900005, -122.653844883 45.52263163600003, -122.654060768 45.52252185700007, -122.6542723649999 45.52240922100003, -122.654481141 45.52229565800008, -122.654632466 45.52220960500006, -122.655653225 45.52220710200004, -122.656668641 45.52221056600007, -122.657682665 45.52221404600004, -122.658696689 45.52221751700006, -122.659206503 45.52221968600003, -122.659712106 45.52222095300004, -122.659707187 45.52293376100005, -122.659688328 45.52507422300005, -122.66045858 45.52507540700003, -122.660706542 45.52507661900006)))"
9,10,01,0126,"MULTIPOLYGON (((-122.666439872 45.52104186700006, -122.666518802 45.52084751400008, -122.666598052 45.52058854100005, -122.666693217 45.52030870800007, -122.668039031 45.52028528000005, -122.667985182 45.52095398000006, -122.667814386 45.52304640800003, -122.666300539 45.52301132300005, -122.66639788 45.52289788000007, -122.666329583 45.52158240200004, -122.666265303 45.52157676000007, -122.666348693 45.52131673000008, -122.666439872 45.52104186700006)))"
